"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"1","SRD-A1-LFH-2","","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  2"
"2","PLD-A-LFH-2","","","soil metagenome",2017,"2 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Manitoba","49.517 N 96.133 W","1.5 t/ha Mixed wood ash","replicate  2"
"5","PLD-C-LFH-2","","","soil metagenome",2017,"2 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Manitoba","49.517 N 96.133 W","","replicate  2"
"6","PLD-C-LFH-3","","","soil metagenome",2017,"2 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Manitoba","49.517 N 96.133 W","","replicate  3"
"7","PLD-C-LFH-1","","","soil metagenome",2017,"2 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Manitoba","49.517 N 96.133 W","","replicate  1"
"9","PLD-A-LFH-1","","","soil metagenome",2017,"2 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Manitoba","49.517 N 96.133 W","1.5 t/ha Mixed wood ash","replicate  1"
"11","PLD-A-LFH-3","","","soil metagenome",2017,"2 cm",332,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Manitoba","49.517 N 96.133 W","1.5 t/ha Mixed wood ash","replicate  3"
"15","ILK-A4-MIN-5","","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  5"
"16","ILK-A4-FH-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  5"
"18","ILK-A4-LM-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  5"
"21","ILK-A3-MIN-5","","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  5"
"22","SRD-C-MIN-2","","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","","replicate  2"
"24","ILK-A3-FH-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  5"
"26","ILK-A3-LM-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","2.8 t/ha Bottom wood ash","replicate  5"
"28","ILK-A2-MIN-5","","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","1.4 t/ha Bottom wood ash","replicate  5"
"30","ILK-A2-FH-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","1.4 t/ha Bottom wood ash","replicate  5"
"32","ILK-A2-LM-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","1.4 t/ha Bottom wood ash","replicate  5"
"34","ILK-C-MIN-5","","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","","replicate  5"
"36","ILK-C-FH-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","","replicate  5"
"37","ILK-C-LM-5","","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","","replicate  5"
"41","ILK-A4-MIN-4","","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  4"
