"","sample_name","library_id"
"1","SRD-A1-LFH-2","9_S9"
"2","PLD-A-LFH-2","97_S97"
"5","PLD-C-LFH-2","96_S96"
"6","PLD-C-LFH-3","98_S98"
"7","PLD-C-LFH-1","94_S94"
"9","PLD-A-LFH-1","95_S95"
"11","PLD-A-LFH-3","99_S99"
"15","ILK-A4-MIN-5","93_S93"
"16","ILK-A4-FH-5","92_S92"
"18","ILK-A4-LM-5","91_S91"
"21","ILK-A3-MIN-5","90_S90"
"22","SRD-C-MIN-2","8_S8"
"24","ILK-A3-FH-5","89_S89"
"26","ILK-A3-LM-5","88_S88"
"28","ILK-A2-MIN-5","87_S87"
"30","ILK-A2-FH-5","86_S86"
"32","ILK-A2-LM-5","85_S85"
"34","ILK-C-MIN-5","84_S84"
"36","ILK-C-FH-5","83_S83"
"37","ILK-C-LM-5","82_S82"
"41","ILK-A4-MIN-4","81_S81"
"42","ILK-A4-FH-4","80_S80"
"44","SRD-C-LFH-2","7_S7"
"46","ILK-A3-MIN-4","78_S78"
"47","ILK-A4-LM-4","79_S79"
"50","ILK-A3-LM-4","76_S76"
"51","ILK-A3-FH-4","77_S77"
"54","ILK-A2-MIN-4","75_S75"
"56","ILK-A2-FH-4","74_S74"
"58","ILK-A2-LM-4","73_S73"
"60","ILK-A1-FH-4","71_S71"
"61","ILK-A1-LM-4","70_S70"
"64","ILK-A1-MIN-4","72_S72"
"66","SRD-A2-MIN-1","6_S6"
"68","ILK-C-MIN-4","69_S69"
"69","ILK-C-LM-4","67_S67"
"72","ILK-C-FH-4","68_S68"
"74","ILK-A4-MIN-3","66_S66"
"76","ILK-A4-LM-3","64_S64"
"78","ILK-A4-FH-3","65_S65"
"81","ILK-A3-MIN-3","63_S63"
"82","ILK-A3-FH-3","62_S62"
"84","ILK-A3-LM-3","61_S61"
"86","ILK-A1-MIN-3","60_S60"
"88","ILK-A1-LM-3","58_S58"
"89","SRD-A2-LFH-1","5_S5"
"92","ILK-A1-FH-3","59_S59"
"95","ILK-C-MIN-3","57_S57"
"96","ILK-C-FH-3","56_S56"
"97","ILK-C-LM-3","55_S55"
"98","ILK-A4-LM-2","52_S52"
"99","ILK-A4-MIN-2","54_S54"
"102","ILK-A4-FH-2","53_S53"
"104","ILK-A2-MIN-2","51_S51"
"106","ILK-A2-FH-2","50_S50"
"107","SRD-A1-MIN-1","4_S4"
"111","ILK-A2-LM-2","49_S49"
"115","ILK-A1-MIN-2","48_S48"
"117","ILK-A1-LM-2","46_S46"
"119","ILK-C-MIN-2","45_S45"
"120","ILK-C-FH-2","44_S44"
"121","ILK-A1-FH-2","47_S47"
"122","ILK-C-LM-2","43_S43"
"125","ILK-A3-MIN-1","42_S42"
"127","SRD-A1-LFH-1","3_S3"
"129","ILK-A3-LM-1","40_S40"
"132","ILK-A2-FH-1","38_S38"
"135","ILK-A2-LM-1","37_S37"
"136","ILK-A2-MIN-1","39_S39"
"139","ILK-A3-FH-1","41_S41"
"140","ILK-A1-LM-1","34_S34"
"142","ILK-A1-FH-1","35_S35"
"143","ILK-C-MIN-1","33_S33"
"145","ILK-C-LM-1","31_S31"
"147","ILK-A1-MIN-1","36_S36"
"149","SRD-A2-MIN-5","30_S30"
"151","ILK-C-FH-1","32_S32"
"152","SRD-C-MIN-1","2_S2"
"154","SRD-A2-LFH-5","29_S29"
"157","SRD-A1-MIN-5","28_S28"
"158","SRD-A1-LFH-5","27_S27"
"162","SRD-A1-MIN-4","22_S22"
"163","SRD-A2-LFH-4","23_S23"
"164","SRD-C-MIN-5","26_S26"
"166","SRD-C-LFH-5","25_S25"
"168","SRD-A1-LFH-4","21_S21"
"172","SRD-C-MIN-4","20_S20"
"173","SRD-A2-MIN-4","24_S24"
"175","SRD-C-LFH-1","1_S1"
"177","SRD-C-LFH-4","19_S19"
"179","SRD-A2-MIN-3","18_S18"
"180","SRD-A2-LFH-3","17_S17"
"184","SRD-A1-MIN-3","16_S16"
"186","HLB-A6-FH-4","171_S171"
"188","HLB-A5-LM-4","168_S168"
"189","HLB-A4-FH-4","167_S167"
"190","HLB-C-LM-4","164_S164"
"192","HLB-A6-LM-4","170_S170"
"193","HLB-A4-LM-4","166_S166"
"194","HLB-A5-FH-4","169_S169"
"198","HLB-C-FH-4","165_S165"
"200","HLB-A6-FH-3","163_S163"
"202","HLB-A6-LM-3","162_S162"
"203","HLB-A5-FH-3","161_S161"
"208","SRD-A1-LFH-3","15_S15"
"210","HLB-A5-LM-3","160_S160"
"212","HLB-C-LM-3","156_S156"
"213","HLB-A4-LM-3","158_S158"
"214","HLB-A4-FH-3","159_S159"
"217","HLB-C-FH-3","157_S157"
"218","HLB-A6-FH-2","155_S155"
"219","HLB-A6-LM-2","154_S154"
"221","HLB-A5-FH-2","153_S153"
"225","HLB-A4-LM-2","150_S150"
"226","HLB-A5-LM-2","152_S152"
"227","HLB-A4-FH-2","151_S151"
"228","HLB-C-FH-2","149_S149"
"229","HLB-C-LM-2","148_S148"
"233","SRD-C-MIN-3","14_S14"
"236","HLB-A6-FH-1","147_S147"
"240","HLB-A5-FH-1","145_S145"
"242","HLB-A6-LM-1","146_S146"
"244","HLB-A5-LM-1","144_S144"
"245","HLB-A4-LM-1","142_S142"
"247","HLB-A4-FH-1","143_S143"
"248","HLB-C-FH-1","141_S141"
"251","HLB-C-LM-1","140_S140"
"252","SRD-C-LFH-3","13_S13"
"255","ALS-A2-LFH-3","139_S139"
"257","ALS-A2-LFH-2","136_S136"
