"","group","maxavcor","rep_var","members","correlation_value"
"Isothermality_2/7",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Isothermality_2/7",0.756153791040089
"Min_Temperature_of_Coldest_Period",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Min_Temperature_of_Coldest_Period",0.951807228915663
"Mean_Temperature_of_Driest_Quarter",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Mean_Temperature_of_Driest_Quarter",0.97007727214974
"Mean_Temperature_of_Coldest_Quarter",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","Mean_Temperature_of_Coldest_Quarter",1
"January_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","January_mean_monthly_minimum_temperature",0.951807228915663
"February_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","February_mean_monthly_minimum_temperature",0.97007727214974
"March_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","March_mean_monthly_minimum_temperature",0.898219696434944
"December_mean_monthly_minimum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","December_mean_monthly_minimum_temperature",0.994029797388005
"January_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","January_mean_monthly_maximum_temperature",0.97007727214974
"February_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","February_mean_monthly_maximum_temperature",0.994029797388005
"March_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","March_mean_monthly_maximum_temperature",0.97007727214974
"April_mean_monthly_maximum_temperature",1,0.927710336265904,"Mean_Temperature_of_Coldest_Quarter","April_mean_monthly_maximum_temperature",0.778457070243618
"julian_day_number_of_start_of_growing_season",2,0.918800278150072,"Growing_Season_-2.2°C_Start","julian_day_number_of_start_of_growing_season",0.890925453326623
"Growing_Season_0°C_Start",2,0.918800278150072,"Growing_Season_-2.2°C_Start","Growing_Season_0°C_Start",0.96303635673335
"Growing_Season_-2.2°C_Start",2,0.918800278150072,"Growing_Season_-2.2°C_Start","Growing_Season_-2.2°C_Start",1
"Growing_Season_-4.4°C_Start",2,0.918800278150072,"Growing_Season_-2.2°C_Start","Growing_Season_-4.4°C_Start",0.902439024390244
"Mean_Temperature_of_Warmest_Quarter",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Mean_Temperature_of_Warmest_Quarter",0.957831325301205
"gdd_above_base_temp_for_period_3",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","gdd_above_base_temp_for_period_3",0.850314645958414
"Mean_temperature_for_period_3",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Mean_temperature_for_period_3",0.97007727214974
"Temperature_range_for_period_3",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","Temperature_range_for_period_3",0.850314645958414
"June_mean_monthly_minimum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","June_mean_monthly_minimum_temperature",0.97007727214974
"July_mean_monthly_minimum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","July_mean_monthly_minimum_temperature",0.97007727214974
"August_mean_monthly_minimum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","August_mean_monthly_minimum_temperature",0.97007727214974
"June_mean_monthly_maximum_temperature",3,0.912977606987775,"Growing_Season_0°C_Degree_Days_over_10°C","June_mean_monthly_maximum_temperature",0.826362120720149
